1,Absol,Unknown,Unknown,BXNiM7pqt9Ld3b2Hc8iT3mA5bSwoe9CRrtkSUs15SLWN,Yes,https://x.com/absolquant,N/A,t.me/absolcalls,N/A,N/A
2,Casino,Unknown,Unknown,8rvAsDKeAcEjEkiZMug9k8v1y8mW6gQQiMobd89Uy7qR,Yes,https://x.com/casino616,N/A,https://t.me/casino_calls,N/A,N/A
3,Cented,Unknown,Canada,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,Yes,https://x.com/Cented7,N/A,N/A,https://t.co/h5YAIV0bem,N/A
4,Classic,Unknown,Unknown,DsqRyTUh1R37asYcVf1KdX4CNnz5DKEFmnXvgT4NfTPE,Yes,https://x.com/mrclassic33,N/A,https://t.me/mrclassiccalls,N/A,N/A
5,Cooker,Unknown,Unknown,8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,Yes,https://x.com/CookerFlips,https://whop.com/pastel-alpha/,https://t.me/CookersCooks,N/A,N/A
6,Cupsey,Unknown,USA,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,Yes,https://x.com/Cupseyy,N/A,N/A,N/A,N/A
7,Dvces,Unknown,USA,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,Yes,https://x.com/vibed333,N/A,N/A,N/A,https://www.twitch.tv/dvces
8,Earl,Unknown,Unknown,F2SuErm4MviWJ2HzKXk2nuzBC6xe883CFWUDCPz6cyWm,Yes,https://x.com/earlTrades,N/A,https://x.com/earlTrades,N/A,N/A
9,Ethan Prosper,Ethan,USA,sAdNbe1cKNMDqDsa4npB3TfL62T14uAo2MsUQfLvzLT,Yes,https://x.com/pr6spr,discord.gg/solmafia,https://t.co/LGo8x1WFtk,https://www.youtube.com/@pr6spr,"https://www.twitch.tv/pr6spr, https://kick.com/pr6spr"
10,Euris,Unknown,Unknown,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,Yes,https://x.com/Euris_JT,N/A,N/A,N/A,N/A
11,Fein,Chris,USA,2SK65k8FjhLpYJjEif6FFPPJjQggvJ2whrhfinLuoFnn,Yes,https://x.com/feinofcrypto,https://discord.gg/AcQdrBeV,t.me/feinscryptocooks,https://www.youtube.com/@CryptoChrisWeb3,N/A
12,Gake,Unknown,USA,DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,Yes,https://x.com/Ga__ke,N/A,t.me/GakesBakes,N/A,
13,Gh0stee,Unknown,Unknown,2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9,Yes,https://x.com/4GH0STEE,N/A,N/A,N/A,N/A
14,Jalen,Unknown,USA,F72vY99ihQsYwqEDCfz7igKXA5me6vN2zqVsVUTpw6qL,Yes,https://x.com/RipJalens,N/A,N/A,https://www.youtube.com/c/JalenSZN,https://t.co/dRbZWHgA53
15,Jerry,Sing Hei Anthony,South Korea,E33jP6RWVpGkv3fDVbuR5Ee6ak42tTKW9yYszqERtobs,Yes,https://x.com/chefjerrry,N/A,t.me/jerrycabal,N/A,N/A
16,Jijo,Unknown,Unknown,4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,Yes,https://x.com/jijo_exe,N/A,t.me/jijosjournal,N/A,N/A
17,Kev,Unknown,Unknown,BTf4A2exGK9BCVDNzy65b9dUzXgMqB4weVkvTMFQsadd,Yes,https://x.com/Kevsznx,N/A,N/A,N/A,N/A
18,Leens,Unknown,UK,7iabBMwmSvS4CFPcjW2XYZY53bUCHzXjCFEFhxeYP4CY,Yes,https://x.com/leensx100,https://t.co/EbbCCC4bEB,https://t.me/leenscooks,https://www.youtube.com/@leensx100,N/A
19,Loopierr,Unknown,Unknown,9yYya3F5EJoLnBNKW6z4bZvyQytMXzDcpU5D6yYr4jqL,Yes,https://x.com/Loopierr,N/A,http://t.me/whosloop,https://www.youtube.com/@loopierr,N/A
20,Lynk,Unknown,Unknown,CSHktdVEmJybwNR9ft3sDfSc2UKgTPZZ8km26XfHYZDt,Yes,https://x.com/lynk0x,discord.gg/lynk,N/A,N/A,N/A
21,MoneyMaykah,Unknown,Unknown,2CXbN6nuTTb4vCrtYM89SfQHMMKGPAW4mvFe6Ht4Yo6z,Yes,https://x.com/moneymaykah_,N/A,N/A,N/A,N/A
22,Orangie,Gabriel,USA,96sErVjEN7LNJ6Uvj63bdRWZxNuBngj56fnT9biHLKBf,Yes,https://x.com/orangie,https://whop.com/potion-alpha/,N/A,https://www.youtube.com/@OrangieWEB3,N/A
23,Oura,Unknown,Unknown,4WPTQA7BB4iRdrPhgNpJihGcxKh8T43gLjMn5PbEVfQw,Yes,https://x.com/Oura456,N/A,https://t.me/OuraEmergencyCalls,N/A,N/A
24,Publix,Unknown,Unknown,86AEJExyjeNNgcp7GrAvCXTDicf5aGWgoERbXFiG1EdD,Yes,https://x.com/publixplays,N/A,N/A,N/A,N/A
25,Ramset,Ramset,Australia,71PCu3E4JP5RDBoY6wJteqzxkKNXLyE1byg5BTAL9UtQ,Yes,https://x.com/Ramsetx,N/A,N/A,N/A,N/A
26,Red,Unknown,Unknown,7ABz8qEFZTHPkovMDsmQkm64DZWN5wRtU7LEtD2ShkQ6,Yes,https://x.com/redwithbag,N/A,https://t.me/yvlred,https://youtube.com/@redwithbag,https://twitch.tv/redwithbag
27,ShockedJS,Unknown,Unknown,6m5sW6EAPAHncxnzapi1ZVJNRb9RZHQ3Bj7FD84X9rAF,Yes,https://x.com/ShockedJS,https://whop.com/shockeddeals/,https://t.me/shockedjstrading,N/A,https://www.twitch.tv/jstrades
28,Sully,Unknown,Unknown,Ebk5ATdfrCuKi27dHZaw5YYsfREEzvvU8xeBhMxQoex6,Yes,https://x.com/sullyfromDeets,N/A,https://t.co/sar5FsSIxO,N/A,N/A
29,Trey,Trey,USA,831yhv67QpKqLBJjbmw2xoDUeeFHGUx8RnuRj9imeoEs,Yes,https://x.com/treysocial,https://www.nightcityalpha.com/,t.me/treystele,https://www.youtube.com/@treyxd,https://www.twitch.tv/kingtreytv
30,West,Unknown,USA,JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN,Yes,https://x.com/ratwizardx,N/A,N/A,N/A,kick.com/ratwizard
31,Izzy,Izzy,UAE,42nsEk51owYM3uciuRvFerqK77yhXZyjBLRgkDzJPV2g,Yes,https://x.com/degenIzzy,N/A,t.me/izzyDegens,N/A,N/A
32,Leck,Unknown,Saudi Arabia,BEFo1bApSaFUKqhXq9Cc9M9We5evXkpH5zthVrBhSi7V,Yes,https://x.com/LeckSol,https://discord.com/invite/LECK,https://t.me/TheDegenTrenches,https://www.youtube.com/@lecksol,https://www.twitch.tv/lecksol
33,Yuumi,Unknown,Canada,2NZjnM894PSeZaQaUjGKy2mCt6ZP6aXYB876u6SqAKpF ,Yes,https://x.com/yuumiweb3,N/A,https://t.me/yuumiweb3,N/A,N/A
